,gene,baseMean,fold,lfcSE,stat,pvalue,padj,DEG,HARs.Intron,HARs.Flanking,HARs.FlankingandIntron,HARs.Intron.Simp,HARs.Flanking.Simp,HARs.FlankingandIntron.Simp,hCONDELs.Intron,hCONDELs.Flanking,hCONDELs.FlankingandIntron,hCONDELs.Intron.Simp,hCONDELs.Flanking.Simp,hCONDELs.FlankingandIntron.Simp,HARorhCONDEL,HARandhCONDEL,condition,family,group,genegroup
11,ADGRL2,51.72482018,2.362505146,0.374210937,6.313297961,2.73E-10,8.99E-08,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L6b1,Latrophilin,B,A
12,ADGRL2,268.304798,1.534654116,0.346399547,4.430300582,9.41E-06,0.000428876,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L5ET2,Latrophilin,B,A
13,ADGRL2,860.7462785,0.634071945,0.136377943,4.649373133,3.33E-06,0.000217925,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst2,Latrophilin,B,A
14,ADGRL2,98.74169682,1.20858165,0.273409071,4.420415336,9.85E-06,0.000653869,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip5,Latrophilin,C,A
15,ADGRL2,637.3243733,0.662567449,0.186170245,3.558933117,0.000372364,0.008235547,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L4IT1,Latrophilin,A,A
16,ADGRL2,121.8969294,-0.981629786,0.215441875,-4.55635556,5.20E-06,0.000306165,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip2,Latrophilin,C,A
17,ADGRL2,629.1386359,0.745719229,0.210774378,3.537997531,0.000403174,0.009400157,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst3,Latrophilin,B,A
18,ADGRL2,446.4007203,0.749874617,0.197454849,3.797701708,0.000146044,0.005314506,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst5,Latrophilin,B,A
19,ADGRL2,394.0587273,1.456402321,0.238166399,6.115062098,9.65E-10,1.72E-07,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Lamp5Lhx61,Latrophilin,B,A
20,ADGRL2,305.2601461,1.171298524,0.309005213,3.790546159,0.000150316,0.004708209,TRUE,HARsv2_0079,HARsv2_0080,"HARsv2_0080,HARsv2_0079",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Lamp51,Latrophilin,B,A
21,ADGRL3,608.6708338,-0.604411998,0.152169501,-3.971965438,7.13E-05,0.002922307,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst4,Latrophilin,B,A
22,ADGRL3,388.3295684,-0.619166871,0.162566117,-3.808708003,0.000139695,0.003826568,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst1,Latrophilin,B,A
23,ADGRL3,1007.886392,-0.648169037,0.14349845,-4.516906206,6.27E-06,0.000354349,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst3,Latrophilin,B,A
24,ADGRL3,958.1615683,-0.672176229,0.124325043,-5.406603619,6.42E-08,7.63E-06,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Pvalb2,Latrophilin,B,A
25,ADGRL3,516.7082588,-0.753122379,0.145954432,-5.159982943,2.47E-07,7.40E-05,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst6,Latrophilin,B,A
26,ADGRL3,811.5736849,-0.551874999,0.146121628,-3.776819384,0.000158844,0.005589371,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst5,Latrophilin,B,A
27,ADGRL3,935.4291597,-0.623873965,0.161593243,-3.860767645,0.000113031,0.003224533,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,L23IT2,Latrophilin,A,A
28,ADGRL3,598.7261355,-0.923294415,0.187785216,-4.91675774,8.80E-07,3.56E-05,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,L56NP2,Latrophilin,A,A
29,ADGRL3,15.65919326,-2.831490413,0.687181886,-4.120438084,3.78E-05,0.003991155,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,MicroPVM1,Latrophilin,B,A
30,ADGRL3,583.8233399,-0.906952769,0.165808367,-5.469885414,4.50E-08,8.72E-06,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Pax61,Latrophilin,B,A
31,ADGRL3,396.3592254,-1.169751669,0.288916382,-4.048755084,5.15E-05,0.005567699,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Pax62,Latrophilin,B,A
32,ADGRL3,400.9745994,-0.975855912,0.249808294,-3.906419185,9.37E-05,0.004712712,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Lamp52,Latrophilin,B,A
33,ADGRL3,240.3512612,-1.188900349,0.242002473,-4.912761161,8.98E-07,0.00014057,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip6,Latrophilin,C,A
34,ADGRL3,401.9969934,-1.05488553,0.203782326,-5.176531017,2.26E-07,4.62E-05,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sncg3,Latrophilin,B,A
35,ADGRL3,448.2149299,-0.600316828,0.124442874,-4.824035385,1.41E-06,0.000493245,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,OPC2,Latrophilin,B,A
36,ADGRL3,523.2598503,-0.587077784,0.151761432,-3.868425449,0.00010954,0.003813209,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip3,Latrophilin,C,A
37,ADGRL3,224.9229019,-0.840897633,0.213671499,-3.935469335,8.30E-05,0.004425412,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,SstChodl1,Latrophilin,B,A
38,ADGRL3,1936.917515,-0.720416179,0.19270097,-3.738518689,0.000185108,0.004428212,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,L23IT3,Latrophilin,A,A
39,ADGRL3,377.676525,-0.872902386,0.180994129,-4.822821542,1.42E-06,0.000130958,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip5,Latrophilin,C,A
40,ADGRL3,549.4278198,-1.01846183,0.216773159,-4.69828385,2.62E-06,0.00019562,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip1,Latrophilin,C,A
41,ADGRL3,403.5016507,-0.608633915,0.137664846,-4.42112806,9.82E-06,0.000525763,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip2,Latrophilin,C,A
42,ADGRL3,440.2594613,-1.143638399,0.308331264,-3.709122399,0.000207979,0.005050681,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Lamp5Lhx61,Latrophilin,B,A
43,ADGRL3,360.2761943,-0.966037781,0.264604804,-3.650870149,0.000261353,0.008580056,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Vip7,Latrophilin,C,A
44,ADGRL3,1051.815609,-0.792657788,0.126254286,-6.278264414,3.42E-10,7.52E-08,TRUE,"HARsv2_2069,HARsv2_2070",NA,"HARsv2_2069,HARsv2_2070",TRUE,FALSE,TRUE,1007,1006,"10,061,007",TRUE,TRUE,TRUE,TRUE,TRUE,Sst9,Latrophilin,B,A
45,ALCAM,74.69426626,1.280540924,0.339148541,3.775752418,0.000159525,0.005204174,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Vip3,Ig like cell adhesion molecule family,C,A
46,ALCAM,269.7041333,0.949820143,0.266154386,3.568681161,0.000358783,0.005096887,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L56NP2,Ig like cell adhesion molecule family,A,A
47,ALCAM,28.77378472,-3.370164309,0.713258335,-4.725026183,2.30E-06,0.000917512,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,VLMC1,Ig like cell adhesion molecule family,C,A
48,ALCAM,48.17163797,2.055319658,0.475187545,4.325280993,1.52E-05,0.001032353,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst7,Ig like cell adhesion molecule family,B,A
49,ALCAM,212.2093773,1.230264662,0.288307973,4.26718918,1.98E-05,0.000929828,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst2,Ig like cell adhesion molecule family,B,A
50,ALCAM,294.2090823,1.089016216,0.25718603,4.234352131,2.29E-05,0.000781332,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L56NP1,Ig like cell adhesion molecule family,A,A
51,ALCAM,30.92460489,1.832441704,0.501830186,3.651517495,0.000260695,0.008225263,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst5,Ig like cell adhesion molecule family,B,A
52,ALCAM,108.8601641,0.796957933,0.21064841,3.783356044,0.000154728,0.004423313,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Pvalb4,Ig like cell adhesion molecule family,B,A
53,ALCAM,41.39352566,2.129434429,0.589453959,3.612554291,0.000303196,0.006397622,TRUE,NA,HARsv2_1897,HARsv2_1897,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L5ET2,Ig like cell adhesion molecule family,B,A
54,ASTN2,944.4873496,0.693807013,0.131876032,5.261054678,1.43E-07,1.45E-05,TRUE,HARsv2_3053,NA,HARsv2_3053,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sst9,Astrotactin,B,A
55,ASTN2,366.9650862,-0.919931986,0.222802105,-4.128919638,3.64E-05,0.000985708,TRUE,HARsv2_3053,NA,HARsv2_3053,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L6CT1,Astrotactin,B,A
56,ASTN2,80.99864598,-2.467731679,0.373580771,-6.605617498,3.96E-11,2.21E-08,TRUE,HARsv2_3053,NA,HARsv2_3053,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Sncg2,Astrotactin,B,A
57,ASTN2,824.7483431,0.59501303,0.158093244,3.763684099,0.000167428,0.005310221,TRUE,HARsv2_3053,NA,HARsv2_3053,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,Pvalb2,Astrotactin,B,A
58,BOC,6.237503713,2.464612536,0.437392455,5.634785203,1.75E-08,2.11E-06,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT1,Ig like cell adhesion molecule family,A,A
59,C1QL2,3.112165653,2.520263462,0.55758594,4.519955189,6.19E-06,0.000305239,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp5Lhx61,C1QL,B,A
60,C1QL2,5.928876679,3.275570952,0.605888663,5.406225854,6.44E-08,7.48E-06,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp51,C1QL,B,A
61,CA1,1.450362679,2.813266511,0.697970482,4.030638235,5.56E-05,0.00168218,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb3,Carbonic anhydrase,B,A
62,CA1,1.762476734,2.795503126,0.77570632,3.603816357,0.000313579,0.008235945,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst9,Carbonic anhydrase,B,A
63,CA1,2.59917603,3.878850096,0.664305976,5.838951082,5.25E-09,3.79E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L56NP2,Carbonic anhydrase,A,A
64,CA1,3.091482032,5.880615517,0.783076655,7.509629462,5.93E-14,1.60E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pax62,Carbonic anhydrase,B,A
65,CA1,1.326256269,4.164609995,0.797058001,5.224977344,1.74E-07,1.93E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT2,Carbonic anhydrase,B,A
66,CA1,2.484925264,3.581909682,0.706795607,5.067815429,4.02E-07,2.30E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT1,Carbonic anhydrase,B,A
67,CA1,5.341234538,4.177236188,0.803748803,5.197191175,2.02E-07,1.54E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar32,Carbonic anhydrase,B,A
68,CA1,4.530640047,5.337097822,0.732704187,7.284109895,3.24E-13,1.38E-10,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp51,Carbonic anhydrase,B,A
69,CA1,1.448031444,3.224048214,0.836469225,3.854353656,0.000116036,0.003733031,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst3,Carbonic anhydrase,B,A
70,CA1,6.668708765,5.245945366,0.627274284,8.363080554,6.11E-17,2.70E-14,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6IT1,Carbonic anhydrase,B,A
71,CA1,2.50299508,5.000032487,0.850013111,5.882300426,4.05E-09,9.04E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst5,Carbonic anhydrase,B,A
72,CA1,1.597816952,3.418111737,0.884662089,3.863748406,0.00011166,0.003994882,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip1,Carbonic anhydrase,C,A
73,CA1,4.337757727,4.503319336,0.587278736,7.668112359,1.75E-14,8.49E-12,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT1,Carbonic anhydrase,A,A
74,CA1,4.78269754,4.895393902,0.772340308,6.33838976,2.32E-10,7.58E-08,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pax61,Carbonic anhydrase,B,A
75,CA1,4.19257416,5.135347586,0.97666996,5.258017341,1.46E-07,1.15E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6ITCar31,Carbonic anhydrase,B,A
76,CA1,2.974136821,4.585104335,0.896893233,5.112207527,3.18E-07,6.19E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sncg3,Carbonic anhydrase,B,A
77,CA1,5.04774494,4.011020379,0.888873148,4.512477833,6.41E-06,0.000283247,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6b2,Carbonic anhydrase,B,A
78,CA1,39.08884331,3.793313422,0.730915168,5.189813523,2.11E-07,1.92E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp5Lhx61,Carbonic anhydrase,B,A
79,CA1,1.34218316,4.441593489,1.071180701,4.146446519,3.38E-05,0.003789196,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sncg1,Carbonic anhydrase,B,A
80,CA1,2.166367364,3.740610919,0.737113757,5.074672512,3.88E-07,3.41E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst8,Carbonic anhydrase,B,A
81,CA1,2.679282972,3.64478003,0.619667697,5.881829966,4.06E-09,5.30E-07,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT2,Carbonic anhydrase,A,A
82,CA1,1.186618315,4.259320918,1.019631714,4.177313103,2.95E-05,0.001800107,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst7,Carbonic anhydrase,B,A
83,CA1,1.926316795,2.983696172,0.852179093,3.501254836,0.000463073,0.009801044,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L4IT1,Carbonic anhydrase,A,A
84,CA1,2.059803576,3.860411466,0.809640177,4.768058177,1.86E-06,0.000134807,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst2,Carbonic anhydrase,B,A
85,CA1,4.821486984,5.045883081,0.657612185,7.673037685,1.68E-14,6.43E-12,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L23IT3,Carbonic anhydrase,A,A
86,CA1,1.4921304,4.06397043,0.903754462,4.496763892,6.90E-06,0.000447722,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst4,Carbonic anhydrase,B,A
87,CA1,1.77872389,3.339835496,0.720769279,4.633709554,3.59E-06,0.000264211,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb1,Carbonic anhydrase,B,A
88,CA1,5.072996541,4.634004479,0.611882535,7.573356351,3.64E-14,1.12E-11,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT1,Carbonic anhydrase,B,A
89,CA1,4.93536451,4.241886286,0.88190467,4.809914754,1.51E-06,8.37E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L5IT2,Carbonic anhydrase,B,A
90,CA10,28.01999508,-4.258534241,0.926082778,-4.598438004,4.26E-06,0.000309866,TRUE,"HARsv2_1118,HARsv2_1119",HARsv2_1120,"HARsv2_1120,HARsv2_1118,HARsv2_1119",TRUE,TRUE,TRUE,"509,510","511,512,508","511,512,508,509,510",TRUE,TRUE,TRUE,TRUE,TRUE,Sst4,Carbonic anhydrase,B,A
91,CA10,19.23662715,-3.045818101,0.632690145,-4.814075463,1.48E-06,0.000100866,TRUE,"HARsv2_1118,HARsv2_1119",HARsv2_1120,"HARsv2_1120,HARsv2_1118,HARsv2_1119",TRUE,TRUE,TRUE,"509,510","511,512,508","511,512,508,509,510",TRUE,TRUE,TRUE,TRUE,TRUE,Pvalb4,Carbonic anhydrase,B,A
92,CA10,43.94866661,-3.606078384,0.902802574,-3.994315574,6.49E-05,0.005458609,TRUE,"HARsv2_1118,HARsv2_1119",HARsv2_1120,"HARsv2_1120,HARsv2_1118,HARsv2_1119",TRUE,TRUE,TRUE,"509,510","511,512,508","511,512,508,509,510",TRUE,TRUE,TRUE,TRUE,TRUE,Sncg1,Carbonic anhydrase,B,A
93,CA10,124.8639025,-4.854285241,1.343971815,-3.61189512,0.000303968,0.009477182,TRUE,"HARsv2_1118,HARsv2_1119",HARsv2_1120,"HARsv2_1120,HARsv2_1118,HARsv2_1119",TRUE,TRUE,TRUE,"509,510","511,512,508","511,512,508,509,510",TRUE,TRUE,TRUE,TRUE,TRUE,Vip7,Carbonic anhydrase,C,A
