,id.y,fold,gene,ID_geneid,DESCRIPTION,cell_id,det_filename,det_plate,det_well,pert_batch_internal_compound_enumerator,pert_batch_internal_replicate,pert_desc,pert_dose,condition,pert_dose_unit,pert_id,pert_time,pert_time_unit,pert_type,pert_vehicle,provenance_code
19,P-H0-D00002,-0.3427,ZC3H14,79882,zinc finger CCCH-type containing 14,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
20,P-H0-D00002,0.5648,PFKP,5214,"phosphofructokinase, platelet",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
21,P-H0-D00002,-0.4784,LARP4B,23185,"La ribonucleoprotein domain family, member 4B",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
22,P-H0-D00002,0.092,HAT1,8520,histone acetyltransferase 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
23,P-H0-D00002,-0.1897,MAP3K7,6885,mitogen-activated protein kinase kinase kinase 7,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
24,P-H0-D00002,0,SRRM1,10250,serine/arginine repetitive matrix 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
25,P-H0-D00002,-0.0006667,BRD4,23476,bromodomain containing 4,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
26,P-H0-D00002,0.1637,KIF4A,24137,kinesin family member 4A,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
27,P-H0-D00002,0.4886,KIAA0930,23313,KIAA0930,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
28,P-H0-D00002,-1.7937,DHX16,8449,DEAH (Asp-Glu-Ala-His) box polypeptide 16,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
29,P-H0-D00002,0.4032,BRAF,673,"B-Raf proto-oncogene, serine/threonine kinase",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
30,P-H0-D00002,-0.01147,FOSL2,2355,FOS-like antigen 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
31,P-H0-D00002,0.4136,FOSL2,2355,FOS-like antigen 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
32,P-H0-D00002,2.9133,JUND,3727,jun D proto-oncogene,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
33,P-H0-D00002,0.1308,RPL12,6136,ribosomal protein L12,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
34,P-H0-D00002,-0.02089,NUP214,8021,nucleoporin 214kDa,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
35,P-H0-D00002,-0.05122,EIF4A3,9775,eukaryotic translation initiation factor 4A3,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
36,P-H0-D00002,0.3133,EIF4A3,9775,eukaryotic translation initiation factor 4A3,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
37,P-H0-D00002,-0.2929,TMPO,7112,thymopoietin,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
38,P-H0-D00002,0.6064,PRRC2A,7916,proline-rich coiled-coil 2A,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
39,P-H0-D00002,-0.08089,FASN,2194,fatty acid synthase,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
40,P-H0-D00002,0.1171,FASN,2194,fatty acid synthase,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
41,P-H0-D00002,0.1111,FAM76B,143684,"family with sequence similarity 76, member B",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
42,P-H0-D00002,0.3443,AHNAK,79026,AHNAK nucleoprotein,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
43,P-H0-D00002,0.1048,PAK2,5062,p21 protein (Cdc42/Rac)-activated kinase 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
44,P-H0-D00002,0.4032,RPS6KA1,6195,"ribosomal protein S6 kinase, 90kDa, polypeptide 1",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
45,P-H0-D00002,0.7272,RPS6KA1,6195,"ribosomal protein S6 kinase, 90kDa, polypeptide 1",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
46,P-H0-D00002,-1.5052,ZNF672,79894,zinc finger protein 672,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
47,P-H0-D00002,-0.8502,C17orf85,55421,chromosome 17 open reading frame 85,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
48,P-H0-D00002,-1.1036,ATAD2,29028,"ATPase family, AAA domain containing 2",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
49,P-H0-D00002,1.112,NUFIP2,57532,nuclear fragile X mental retardation protein interacting protein 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
50,P-H0-D00002,0.07978,RBBP6,5930,retinoblastoma binding protein 6,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
51,P-H0-D00002,0.4432,CASC3,22794,cancer susceptibility candidate 3,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
52,P-H0-D00002,0.01211,GPALPP1,55425,GPALPP motifs containing 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
53,P-H0-D00002,0.01978,CCNYL1,151195,cyclin Y-like 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
54,P-H0-D00002,-0.06222,NFATC2IP,84901,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
55,P-H0-D00002,-0.7607,RNF169,254225,ring finger protein 169,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
56,P-H0-D00002,-0.288,ZNF740,283337,zinc finger protein 740,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
57,P-H0-D00002,-0.1402,DDX54,79039,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
58,P-H0-D00002,0.2851,ATXN2L,11273,ataxin 2-like,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
59,P-H0-D00002,-0.6672,ATRIP,84126,ATR interacting protein,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
60,P-H0-D00002,0.3398,DPF2,5977,"D4, zinc and double PHD fingers family 2",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
61,P-H0-D00002,-0.08196,SMARCC1,6599,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
62,P-H0-D00002,-0.9752,KHSRP,8570,KH-type splicing regulatory protein,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
63,P-H0-D00002,0.006222,SH3KBP1,30011,SH3-domain kinase binding protein 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
64,P-H0-D00002,0.06201,CHAMP1,283489,chromosome alignment maintaining phosphoprotein 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
65,P-H0-D00002,0.1973,RBM14,10432,RNA binding motif protein 14,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
66,P-H0-D00002,-0.3648,ALS2,57679,amyotrophic lateral sclerosis 2 (juvenile),HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
67,P-H0-D00002,0.3048,PPP1R10,5514,"protein phosphatase 1, regulatory subunit 10",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
68,P-H0-D00002,0.1516,TPX2,22974,"TPX2, microtubule-associated",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
69,P-H0-D00002,-1.2048,RSF1,51773,remodeling and spacing factor 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
70,P-H0-D00002,0.2516,WAC,51322,WW domain containing adaptor with coiled-coil,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
71,P-H0-D00002,0.04478,UBE2O,63893,ubiquitin-conjugating enzyme E2O,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
72,P-H0-D00002,0.2758,WDR26,80232,WD repeat domain 26,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
73,P-H0-D00002,-0.02711,ANLN,54443,"anillin, actin binding protein",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
74,P-H0-D00002,0.2019,NANS,54187,N-acetylneuraminic acid synthase,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
75,P-H0-D00002,-0.08522,TERF2IP,54386,"telomeric repeat binding factor 2, interacting protein",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
76,P-H0-D00002,-0.1756,LRWD1,222229,leucine-rich repeats and WD repeat domain containing 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
77,P-H0-D00002,0.4031,LIMA1,51474,LIM domain and actin binding 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
78,P-H0-D00002,0.8898,LIMA1,51474,LIM domain and actin binding 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
79,P-H0-D00002,0.1611,GPATCH8,23131,G patch domain containing 8,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
80,P-H0-D00002,-0.003111,MAP3K2,10746,mitogen-activated protein kinase kinase kinase 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
81,P-H0-D00002,0.7907,THRAP3,9967,thyroid hormone receptor associated protein 3,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
82,P-H0-D00002,-0.778,PRRC2C,23215,proline-rich coiled-coil 2C,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
83,P-H0-D00002,0.352,MARK2,2011,MAP/microtubule affinity-regulating kinase 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
84,P-H0-D00002,1.0157,PRRC2C,23215,proline-rich coiled-coil 2C,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
85,P-H0-D00002,-0.4184,CDK1,983,cyclin-dependent kinase 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
86,P-H0-D00002,0.09189,TMPO,7112,thymopoietin,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
87,P-H0-D00002,0.4408,NOLC1,9221,nucleolar and coiled-body phosphoprotein 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
88,P-H0-D00002,0.4851,PLEC,5339,plectin,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
89,P-H0-D00002,-0.6002,PLEC,5339,plectin,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
90,P-H0-D00002,-0.1859,SRRM2,23524,serine/arginine repetitive matrix 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
91,P-H0-D00003,-0.05295,DYRK1A,1859,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,HL60,HL60-Rep1-03_chlortetracycline_01,P100_0002,C01,3,1,chlortetracycline,7.8,chlortetracycline 7.8um,um,BRD-A39210489,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
92,P-H0-D00003,0.03078,RPS6KA3,6197,"ribosomal protein S6 kinase, 90kDa, polypeptide 3",HL60,HL60-Rep1-03_chlortetracycline_01,P100_0002,C01,3,1,chlortetracycline,7.8,chlortetracycline 7.8um,um,BRD-A39210489,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
93,P-H0-D00003,0.2778,HN1,51155,hematological and neurological expressed 1,HL60,HL60-Rep1-03_chlortetracycline_01,P100_0002,C01,3,1,chlortetracycline,7.8,chlortetracycline 7.8um,um,BRD-A39210489,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
94,P-H0-D00003,0.1019,ZC3HC1,51530,"zinc finger, C3HC-type containing 1",HL60,HL60-Rep1-03_chlortetracycline_01,P100_0002,C01,3,1,chlortetracycline,7.8,chlortetracycline 7.8um,um,BRD-A39210489,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
